timestamp,furnace_id,shift,crew,operating_mode,event_label,sensor_quality_flag,ore_fe_pct,sinter_pct,pellet_pct,lump_ore_pct,coke_ash_pct,coke_csr_pct,coke_moisture_pct,coke_m10_pct,burden_basicity_target,burden_distribution_mode,stockline_left_m,stockline_right_m,burden_descent_rate_m_h,wind_volume_nm3_min,hot_blast_temp_c,blast_pressure_kpa,oxygen_enrichment_pct,blast_humidity_g_nm3,top_pressure_kpa,pci_rate_kg_thm,coke_rate_kg_thm,total_fuel_rate_kg_thm,fuel_rate_target_kg_thm,top_gas_co_pct,top_gas_co2_pct,top_gas_h2_pct,top_gas_n2_pct,gas_utilization_pct,top_gas_temp_c,pressure_drop_kpa,permeability_index,raceway_adiabatic_flame_temp_c,tuyere_temp_avg_c,active_tuyere_count,tuyere_blockage_count,stave_temp_upper_c,stave_temp_middle_c,stave_temp_lower_c,hearth_sidewall_temp_c,hearth_liquid_level_index,hot_metal_temp_c,hot_metal_si_pct,hot_metal_s_pct,slag_basicity,slag_volume_kg_thm,production_tph,thermal_state_index,thermal_risk_score,permeability_risk_score,quality_risk_score,predicted_si_4h_pct,predicted_hot_metal_temp_4h_c,operator_decision_required,recommended_action_category,rec_wind_volume_delta_nm3_min,rec_pci_delta_kg_thm,rec_coke_rate_delta_kg_thm,rec_oxygen_enrichment_delta_pct,rec_blast_temp_delta_c,rec_top_pressure_delta_kpa,rec_burden_distribution_change,rec_tapping_priority,operator_action_taken,operator_notes
2026-01-01 00:00:00,BF-01,C,Crew Gamma,Normal,normal,Good,61.77,67.9,23.3,8.9,11.33,65.9,4.23,6.88,1.18,normal,1.88,1.88,4.93,4564.0,1181.0,289.7,4.0,17.6,208.4,165.4,364.5,529.9,525,23.46,20.74,4.23,45.84,48.0,157.0,155.2,90.9,2124.0,1759.0,34,0,88.0,102.3,120.9,257.4,56.9,1494.6,0.493,0.034,1.14,280.5,349.3,-0.01,0,15.6,3.4,0.495,1497.9,No,Maintain,0,0,0,0.0,0,0,None,Normal,Maintain,Stable operation; monitor normal trend.
2026-01-01 01:00:00,BF-01,C,Crew Gamma,Normal,normal,Good,61.72,68.5,23.2,8.3,11.62,65.3,4.33,6.99,1.2,normal,1.91,1.86,5.31,4520.0,1179.0,289.8,3.95,18.5,200.6,171.2,362.9,534.1,525,23.83,19.88,4.87,45.45,47.7,153.2,149.7,90.1,2122.0,1744.0,34,0,91.7,111.6,117.6,267.5,52.9,1491.1,0.487,0.047,1.19,294.0,354.3,-0.3,11.0,9.2,6.0,0.461,1490.3,No,Maintain,0,0,0,0.0,0,0,None,Normal,Maintain,Stable operation; monitor normal trend.
2026-01-01 02:00:00,BF-01,C,Crew Gamma,Normal,normal,Good,62.11,68.2,23.1,8.7,11.0,65.9,4.96,7.0,1.19,normal,1.77,1.84,5.0,4559.0,1182.0,295.5,4.01,19.1,210.0,169.5,362.7,532.2,525,24.6,19.77,3.95,45.38,46.0,156.2,161.2,84.2,2134.0,1747.0,34,0,94.0,102.9,131.6,262.3,51.4,1488.9,0.467,0.034,1.19,274.4,356.6,-0.4,16.3,24.0,5.4,0.464,1483.5,No,Maintain,0,0,0,0.0,0,0,None,Normal,Maintain,Stable operation; monitor normal trend.
2026-01-01 03:00:00,BF-01,C,Crew Gamma,Normal,normal,Good,62.09,68.2,22.8,9.0,11.28,66.5,4.72,6.62,1.2,normal,1.83,1.85,5.21,4560.0,1187.0,293.7,3.98,19.5,202.2,170.6,361.7,532.3,525,24.71,20.07,4.13,44.42,46.2,157.9,161.7,79.8,2121.0,1749.0,34,0,87.1,110.0,114.5,243.2,55.0,1488.9,0.447,0.04,1.2,296.0,349.2,-0.36,13.7,31.5,9.5,0.455,1485.9,No,Maintain,0,0,0,0.0,0,0,None,Normal,Maintain,Stable operation; monitor normal trend.
2026-01-01 04:00:00,BF-01,C,Crew Gamma,Normal,normal,Good,62.24,67.9,23.6,8.5,11.11,65.4,4.62,6.73,1.18,normal,1.83,1.82,4.81,4510.0,1180.0,297.4,3.93,20.1,209.2,170.4,362.2,532.6,525,22.85,19.93,4.38,46.47,49.1,158.6,153.8,81.0,2121.0,1763.0,34,0,95.5,114.6,120.6,253.6,58.4,1490.1,0.443,0.038,1.16,283.4,346.4,-0.42,12.8,33.7,7.9,0.42,1485.7,No,Maintain,0,0,0,0.0,0,0,None,Normal,Maintain,Stable operation; monitor normal trend.
2026-01-01 05:00:00,BF-01,C,Crew Gamma,Normal,normal,Good,62.03,68.8,25.1,6.2,11.19,66.6,4.68,6.74,1.21,normal,1.9,1.82,5.05,4494.0,1179.0,288.2,4.01,20.4,204.3,168.5,364.3,532.8,525,23.2,20.37,4.44,45.66,48.5,161.5,157.0,86.9,2112.0,1737.0,34,0,92.0,112.6,130.0,251.0,53.9,1489.4,0.44,0.035,1.22,278.7,349.9,-0.41,19.4,23.3,8.1,0.428,1487.9,No,Maintain,0,0,0,0.0,0,0,None,Normal,Maintain,Stable operation; monitor normal trend.
2026-01-01 06:00:00,BF-01,A,Crew Alpha,Normal,normal,Good,61.91,68.8,23.0,8.2,11.56,66.5,4.12,6.94,1.17,normal,1.87,1.85,5.1,4443.0,1178.0,288.9,3.97,20.7,206.6,171.5,365.8,537.3,525,23.4,19.55,4.81,45.45,46.6,149.4,153.5,88.3,2111.0,1739.0,34,0,91.9,100.8,118.5,249.4,43.5,1490.1,0.432,0.038,1.18,300.3,355.4,-0.53,12.7,15.7,12.5,0.34,1494.5,No,Maintain,0,0,0,0.0,0,0,None,Normal,Maintain,Stable operation; monitor normal trend.
2026-01-01 07:00:00,BF-01,A,Crew Alpha,Normal,normal,Good,62.0,68.4,23.8,7.8,11.32,65.9,4.39,6.56,1.17,normal,1.74,1.88,5.07,4429.0,1181.0,286.4,3.97,19.4,203.6,170.5,365.8,536.3,525,24.25,19.93,4.28,44.77,46.0,156.6,148.3,92.3,2111.0,1753.0,34,0,87.8,103.6,99.9,260.5,39.4,1482.7,0.415,0.034,1.17,291.1,347.2,-0.63,25.2,5.1,10.2,0.342,1478.1,No,Maintain,0,0,0,0.0,0,0,None,Normal,Maintain,Stable operation; monitor normal trend.
2026-01-01 08:00:00,BF-01,A,Crew Alpha,Normal,normal,Good,62.06,69.1,23.1,7.8,11.08,66.6,4.22,6.72,1.17,normal,1.81,1.87,5.08,4444.0,1184.0,292.2,3.99,19.1,206.1,170.8,361.9,532.7,525,24.57,19.47,4.8,44.49,46.2,152.2,149.4,98.0,2124.0,1770.0,34,0,91.4,102.0,116.0,250.2,46.9,1479.3,0.43,0.034,1.22,283.6,344.5,-0.52,15.1,0,9.8,0.34,1470.9,No,Maintain,0,0,0,0.0,0,0,None,Normal,Maintain,Stable operation; monitor normal trend.
2026-01-01 09:00:00,BF-01,A,Crew Alpha,Normal,normal,Good,61.9,67.7,23.2,9.1,11.1,66.7,4.7,6.77,1.19,normal,1.8,1.9,5.31,4453.0,1187.0,288.3,3.91,18.5,206.0,172.4,360.8,533.2,525,22.96,20.6,4.24,45.55,48.4,138.3,143.3,100.7,2106.0,1763.0,34,0,92.1,98.6,111.1,248.8,41.4,1479.1,0.43,0.037,1.22,290.3,348.4,-0.48,14.0,0,11.8,0.416,1478.8,No,Maintain,0,0,0,0.0,0,0,None,Normal,Maintain,Stable operation; monitor normal trend.
